,train,val,iou
0,1.2094092304306994,1.0924082893809417,0.5711162869083355
1,1.0137233233338232,0.954986205358933,0.6011278510408491
2,0.9487880761888846,0.919283272094022,0.6085104601670064
3,0.8987837927939862,0.8481072439052814,0.6376042887664735
4,0.851743421030219,0.8055928185149673,0.6590936505159717
5,0.8165038916529582,0.8037690208895539,0.6615013353351847
6,0.7852364086681524,0.7679187760032261,0.6726366008450341
7,0.757051573746748,0.727548375529161,0.6969479673261744
8,0.7441082820192374,0.729654017255929,0.6925534025235984
9,0.7176807811436114,0.6968664923255236,0.7082229902644754
10,0.696682420073,0.6827078166769174,0.712340896113138
11,0.703843839077763,0.6913102648189011,0.7062589509702147
12,0.7043352777199835,0.6912442119423506,0.7126429325320929
13,0.676442437196044,0.6648967865274575,0.7197111814988786
14,0.6624183494395043,0.6470606246063766,0.7235268342202309
15,0.6655108567841632,0.6802313752413425,0.7110952475755793
16,0.6551602430839086,0.6577448840977963,0.7214361311030569
17,0.6398993180237749,0.6524885002336904,0.7265108935408455
18,0.6301808936728371,0.6396705769297315,0.7316859200721015
19,0.6298123873676715,0.6208265177649999,0.739183145265629
20,0.6173135870561066,0.6407208912133542,0.7375942236067898
21,0.6098120891792601,0.63365431534898,0.73112121017862
22,0.6052803096713465,0.5857521981236803,0.7533829047952346
23,0.5996939038094922,0.6299480551308252,0.7341398733853731
24,0.6046503079905309,0.6123759447741949,0.7448780126598047
25,0.5956200254290451,0.6150302771370769,0.7413469097413729
26,0.586391074880819,0.6103606296796598,0.7425000924826656
27,0.5875158519668116,0.5945371173931615,0.7495811670947968
28,0.5821904253651033,0.5946221909139275,0.7483040222246071
29,0.5794653765335921,0.5780014713002384,0.7520703213618714
30,0.5743560879909088,0.5770751247305355,0.7553788798658625
31,0.5716105376646055,0.5846978007253053,0.7539894184832964
32,0.5690461763638444,0.5801893142801476,0.7510570025959029
33,0.5638714264433178,0.5697877778226907,0.7602011374197727
34,0.5619175539246788,0.5943205582277756,0.7448577115944068
35,0.5583979014561848,0.5935427252802811,0.7528330514987963
36,0.5574487116593073,0.587597041693086,0.7502424324146144
37,0.5570147305411801,0.5824579003618386,0.7542355403572413
38,0.553298175080776,0.5649493920535714,0.7584685315080663
39,0.5486470925210798,0.5616958874196679,0.7608913292684777
40,0.5491212991324761,0.5950897773211739,0.7447147148494188
41,0.5437772337547302,0.5747675904340669,0.7647590472441789
42,0.5375357723532064,0.5566147356281809,0.7675058096715396
43,0.5430743566712928,0.5679280014418675,0.763259301484777
